Deal Date,Investors,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2012,First Round Capital, Innovation Endeavors,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2013,Active Angel Investors, Innovation Ventures, Magnify.net, New York Angels, NextStage Capital, Ogden Capital, Rose Tech Ventures, Wilson Sonsini Goodrich & Rosati,,,,,,,,,,,,,,,,,,,
1/1/2006,Accel Partners, Lightspeed Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2007,Accel Partners, Duff Ackerman & Goodrich Ventures, Lightspeed Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,
12/8/2008,Accel Partners, Duff Ackerman & Goodrich Ventures, Lightspeed Venture Partners, Time Warner Pension Plan,,,,,,,,,,,,,,,,,,,,,,,
6/1/2008,Advanced Technology Ventures, Blue Chip Venture Company, Hudson Ventures Partners,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2011,Advanced Technology Ventures, Blue Chip Venture Company, Hudson Ventures Partners, Intel Capital,,,,,,,,,,,,,,,,,,,,,,,
3/19/2008,Chinese Founders Fund, DT Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2007,Chinese Founders Fund, DT Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2001,Adams Street Partners, Canaan Partners, CMEA Capital, Draper Fisher Jurvetson, Sigma Partners, Sprout Group,,,,,,,,,,,,,,,,,,,,,
5/1/2004,3i, Target Partners, Wellington Partners,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2005,3i, Iris Capital, Target Partners, Wellington Partners,,,,,,,,,,,,,,,,,,,,,,,
8/19/2010,Bain Capital, Cue Ball Capital,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2010,Hamburg FOR Mobile, High-Tech GrŸnderfonds, Neuhaus Partners,,,,,,,,,,,,,,,,,,,,,,,,
9/15/2011,Hamburg FOR Mobile, High-Tech GrŸnderfonds, Neuhaus Partners,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2009,FF Angel, The Founders Fund Management, True Ventures,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2011,Felicis Ventures, Floodgate, Greylock Partners,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2012,Kima Ventures, lÕAccelerateur,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/2008,iD TechVentures, NIF SMBC Ventures,,,,,,,,,,,,,,,,,,,,,,,,,
