total_box,budget,release_coverage,pindex
109306210,0,0.122659864239699,2811509
441863,0,0.00165440120719386,2811841
850,0,2.81642539289134e-05,2811901
3272593,0,0.00236343029599123,2811926
3525125,0,0.023630943040954,2812089
1476,0,2.60314981127164e-05,2812097
32391374,7500000,0.0267122065608034,2812231
230600,0,0.000637218667958097,2812441
32945797,0,0.0602760262798183,2812470
10337,0,0.000104125992450866,2812842
72082998,0,0.0853039279135759,2813648
14616,0,0.000249962505624156,2813657
83291,0,0.000390472471690746,2813706
224546,0,0.00028634647923988,2813838
38178166,3e+07,0.06223909940481,2813882
203373,0,0.00159171298635675,2813916
94784201,1.05e+08,0.0889426790956378,2813947
144880014,0,0.0975749217987959,2814573
66957026,8.5e+07,0.074328596168119,2814646
54702,8e+06,0.000156188988676298,2814786
127035,0,0.000168123739071957,2814883
32771,0,0.000429509853461344,2814888
96464,0,0.00039800466992146,2815121
82614,0,0.000524685188886668,2815256
12234694,0,0.0594142686004129,2815274
56671993,2e+07,0.0368279032580452,2815322
18335230,1.8e+07,0.0231781376518219,2815424
57231747,3.7e+07,0.0947715109098394,2815562
52853219,5e+07,0.0726091501966446,2815573
2337,0,2.57771820384596e-05,2815604
13809,0,0.00112623886274902,2815635
71985628,2.5e+07,0.07044903851111,2815871
24403552,6e+07,0.0658198614318707,2816015
36895141,0,0.0704412338930105,2816177
83857,0,0,2816187
64167069,0,0.0829658705681442,2816301
2567099,0,0.049807600847421,2816457
31745,0,0.000101214574898785,2816729
111682,0,0.000249962505624156,2816944
5979011,0,0.0224825976047386,2817278
11132210,0,0.0287578621640712,2818399
127154901,7.6e+07,0.0958765778401122,2818430
75612460,6.1e+07,0.0756546072356586,2818486
541636,0,0.00125848747365956,2818927
9338,0,4.99700179892065e-05,2819140
6852450,6e+06,0.0263391775066656,2819141
166112167,2e+08,0.0877832436979074,2819946
68339,0,5.06072874493927e-05,2820053
33449086,0,0.0508547224043165,2820315
5656493,0,0.0161796186588341,2820475
25682380,1.3e+07,0.0692334599240456,2820488
81159365,3.5e+07,0.0760158623886285,2820494
16290476,2e+07,0.0115287517531557,2820536
138447667,4.2e+07,0.0793706822651404,2820548
191719337,5e+07,0.0857443187506257,2820687
549185,0,0.0154419861848033,2820781
13084595,5e+06,0.0138702084734365,2821377
76808654,3e+07,0.0791574393572643,2821454
37170488,4.3e+07,0.0693531982737294,2821509
18869,0,0.000126065251374111,2821522
2120564,0,0.00531677421973294,2821633
17162,0,2.92671505502224e-05,2821688
43073,0,7.59109311740891e-05,2821860
30697999,2.8e+07,0.071879066973671,2821994
4175,0,0.000374775134919049,2822059
167780960,1.1e+07,0.0799417963755016,2822157
71609321,0,0.0677752582514487,2822159
1297,0,5.00550605666233e-05,2822238
29000301,0,0.0774966288569842,2822240
11798854,0,0.0765483907227697,2822241
413479,0,0.00186761484035485,2822243
375805,0,0.00351205806602669,2822244
9832166,3400000,0.0186371258143434,2822357
14693,0,0.000378195754122334,2822592
39568996,3e+07,0.0736969634479559,2822625
37053924,2.8e+07,0.0729661445174331,2822684
103540,0,0.000168985523573481,2822782
210614939,6.5e+07,0.0853833138097098,2822812
15749959,6.2e+07,0.0716780262490847,2822874
106580051,1.1e+08,0.0873460806887576,2822884
779820,0,0.0133917459053119,2822935
113794,0,0.000151591712986357,2823138
11640,0,0.000224865080951429,2823225
100343,0,0.000303183425972714,2823235
